Crew,Country,Habitation,Brief Mission Summary,Fatality,Moon,Sub Orbital,Prolongation,Launch Data,Launch Mission,Return Data,Return Mission,Launch Year
"Vladimir Kovalyonok, Alexander Ivanchenkov",USSR/Russia,Salyut 6,Salyut 6 crew rotation.,N,N,N,141.0,1978-06-15,Soyuz 29,1978-11-02,Soyuz 31,1978
"Pyotr Klimuk, Mirosław Hermaszewski",USSR/Russia,Salyut 6,Life sciences experiments. Earth observations and study of aurora borealis. First Pole in space (Hermaszewski).,N,N,N,8.0,1978-06-27,Soyuz 30,1978-07-05,Soyuz 30,1978
"Valery Bykovsky, Sigmund Jähn",USSR/Russia,Salyut 6,First East German in space (Jähn).,N,N,N,8.0,1978-08-26,Soyuz 31,1978-09-03,Soyuz 29,1978
"Vladimir Lyakhov, Valery Ryumin",USSR/Russia,Salyut 6,Salyut 6 crew rotation.,N,N,N,176.0,1979-02-25,Soyuz 32,1979-08-19,Soyuz 34,1979
"Nikolay Rukavishnikov, Georgy Ivanov",USSR/Russia,,Failed to board Salyut 6 space station. First Bulgarian in space (Ivanov).,N,N,N,2.0,1979-04-10,Soyuz 33,1979-04-12,Soyuz 33,1979
"Leonid Popov, Valery Ryumin",USSR/Russia,Salyut 6,Salyut 6 crew rotation.,N,N,N,186.0,1980-04-09,Soyuz 35,1980-10-11,Soyuz 37,1980
"Valery Kubasov, Bertalan Farkas",USSR/Russia,Salyut 6,"Materials processing, Earth observation and life sciences experiments. First Hungarian in space (Farkas).",N,N,N,8.0,1980-05-26,Soyuz 36,1980-06-03,Soyuz 35,1980
"Yury Malyshev, Vladimir Aksyonov",USSR/Russia,Salyut 6,First manned flight of the Soyuz T.,N,N,N,4.0,1980-06-05,Soyuz T-2,1980-06-09,Soyuz T-2,1980
"Victor Gorbatko, Pham Tuân",USSR/Russia,Salyut 6,Miscellaneous scientific experiments. First Vietnamese and first Asian outside USSR in space (Tuan).,N,N,N,8.0,1980-07-23,Soyuz 37,1980-07-31,Soyuz 36,1980
"Yury Romanenko, Arnaldo Tamayo-Mendez",USSR/Russia,Salyut 6,First Cuban and first black person in space (Tamayo-Mendez).,N,N,N,8.0,1980-09-18,Soyuz 38,1980-09-26,Soyuz 38,1980
"Leonid Kizim, Oleg Makarov, Gennady Strekalov",USSR/Russia,Salyut 6,Salyut 6 refurbishment.,N,N,N,13.0,1980-11-27,Soyuz T-3,1980-12-10,Soyuz T-3,1980
"Vladimir Kovalyonok, Victor Savinykh",USSR/Russia,Salyut 6,,N,N,N,75.0,1981-03-13,Soyuz T-4,1981-05-26,Soyuz T-4,1981
"Vladimir Dzhanibekov, Jügderdemidiin Gürragchaa",USSR/Russia,Salyut 6,First Mongolian in space (Gürragchaa).,N,N,N,7.0,1981-03-22,Soyuz 39,1981-03-29,Soyuz 39,1981
"John W. Young, Robert L. Crippen",USA,,First space shuttle flight. Systems test.,N,N,N,2.0,1981-04-12,STS-1 (Columbia),1981-04-14,STS-1 (Columbia),1981
"Leonid Popov, Dumitru Prunariu",USSR/Russia,Salyut 6,First Romanian in space (Prunariu). Magnetic field observations. Final Soyuz flight.,N,N,N,8.0,1981-05-14,Soyuz 40,1981-05-22,Soyuz 40,1981
"Joseph H. Engle, Richard H. Truly",USA,,First re-use of a manned spacecraft. Systems test. Earth science observations.,N,N,N,2.0,1981-11-12,STS-2 (Columbia),1981-11-14,STS-2 (Columbia),1981
"Jack R. Lousma, C. Gordon Fullerton",USA,,Further system testing. Miscellaneous scientific experiments and Earth science observations.,N,N,N,8.0,1982-03-22,STS-3 (Columbia),1982-03-30,STS-3 (Columbia),1982
"Anatoly Berezovoy, Valentin Lebedev",USSR/Russia,Salyut 7,First mission to Salyut 7. Deployment of radio communications satellite.,N,N,N,213.0,1982-05-12,Soyuz T-5,1982-12-10,Soyuz T-7,1982
"Vladimir Dzhanibekov, Alexander Ivanchenkov, Jean-Loup Chrétien",USSR/Russia,Salyut 7,First French citizen in space (Chrétien).,N,N,N,8.0,1982-06-24,Soyuz T-6,1982-07-02,Soyuz T-6,1982
"Thomas K. Mattingly, Henry W. Hartsfield",USA,,Final space shuttle R&D flight. Miscellaneous scientific experiments plus classified US Air Force payload.,N,N,N,7.0,1982-06-27,STS-4 (Columbia),1982-07-04,STS-4 (Columbia),1982
"Leonid Popov, Alexander Serebrov, Svetlana Savitskaya",USSR/Russia,Salyut 7,Second woman in space (Savitskaya).,N,N,N,8.0,1982-08-19,Soyuz T-7,1982-08-27,Soyuz T-5,1982
"Vance D. Brand, Robert F. Overmyer, Joseph P. Allen, William B. Lenoir",USA,,Launched commercial ANIK C-3 and SBS-C communications satellites. Planned EVA cancelled due to space suit malfunction.,N,N,N,5.0,1982-11-11,STS-5 (Columbia),1982-11-16,STS-5 (Columbia),1982
"Paul J. Weitz, Karol J. Bobko, Donald H. Peterson, F. Story Musgrave",USA,,First Space Shuttle EVA (Peterson and Musgrave). Deployment of first Tracking and Data Relay Satellite (TDRS-1). Miscellaneous science experiments.,N,N,N,5.0,1983-04-04,STS-6 (Challenger),1983-04-09,"STS-6, Challenger",1983
"Vladimir Titov, Gennady Strekalov, Alexander Serebrov",USSR/Russia,,Failed to dock with Salyut 7.,N,N,N,2.0,1983-04-20,Soyuz T-8,1983-04-22,Soyuz T-8,1983
"Robert L. Crippen, Frederick H. Hauck, John M. Fabian, Sally K. Ride, Norman E. Thagard",USA,,Two communications satellites launched. First American woman in space (Ride). Investigation into behavior of ant colony in zero gravity. Various microgravity experiments.,N,N,N,6.0,1983-06-18,STS-7 (Challenger),1983-06-24,"STS-7, Challenger",1983
"Vladimir Lyakhov, Alexander Alexanderov",USSR/Russia,Salyut 7,,N,N,N,151.0,1983-06-26,Soyuz T-9,1983-11-23,Soyuz T-9,1983
"Richard H. Truly, Daniel C. Brandenstein, Dale A. Gardner, Guion Bluford, William E. Thornton",USA,,First African-American in space (Bluford). First night launch and landing. Deployed INSAT-1B satellite for India. Observation of behavior of rats in space.,N,N,N,6.0,1983-08-30,STS-8 (Challenger),1983-09-05,"STS-8, Challenger",1983
"Vladimir Titov, Gennady Strekalov",USSR/Russia,,Launch failed due to fire. Crew ejected.,N,N,Y,0.0,1983-09-26,Soyuz T-10-1,1983-09-26,Soyuz T-10-1,1983
"John W. Young, Brewster H. Shaw, Owen K. Garriott, Robert A. Parker, Byron K. Lichtenberg, Ulf Merbold",USA,,"First Spacelab (orbital laboratory) mission. First ESA astronaut, first West German astronaut and first non-American on US flight (Merbold).",N,N,N,10.0,1983-11-28,STS-9 (Columbia),1983-12-08,STS-9 (Columbia),1983
"Vance D. Brand, Robert L. Gibson, Bruce McCandless II, Ronald E. McNair, Robert L. Stewart",USA,,First untethered spacewalk (McCandless and Stewart). WESTAR-VI and PALAPA-B2 satellites deployed but failed to attain correct orbits.,N,N,N,8.0,1984-02-03,STS-41-B (Challenger),1984-02-11,STS-41-B (Challenger),1984
"Leonid Kizim, Vladimir Solovyov, Oleg Atkov",USSR/Russia,Salyut 7,,N,N,N,242.0,1984-02-04,Soyuz T-10,1984-10-02,Soyuz T-11,1984
"Yury Malyshev, Gennady Strekalov, Rakesh Sharma",USSR/Russia,Salyut 7,First Indian in space (Sharma). Earth observation program. Life sciences and materials processing experiments.,N,N,N,8.0,1984-04-03,Soyuz T-11,1984-04-11,Soyuz T-10,1984
"Robert L. Crippen, Francis R. Scobee, George D. Nelson, James D. A. van Hoften, Terry J. Hart",USA,,"LDEF deployed for later retrieval. Capture, repair and redeployment of malfunctioning Solar Maximum Mission satellite.",N,N,N,7.0,1984-04-06,STS-41-C (Challenger),1984-04-13,STS-41-C (Challenger),1984
"Vladimir Dzhanibekov, Igor Volk, Svetlana Savitskaya",USSR/Russia,Salyut 7,First EVA by a female astronaut (Savitskaya).,N,N,N,12.0,1984-07-17,Soyuz T-12,1984-07-29,Soyuz T-12,1984
"Henry W. Hartsfield, Michael L. Coats, Judith A. Resnik, Steven A. Hawley, Richard M. Mullane, Charles D. Walker",USA,,Testing of experimental solar arrays. Three satellites deployed.,N,N,N,6.0,1984-08-30,STS-41-D (Discovery),1984-09-05,STS-41-D (Discovery),1984
"Robert L. Crippen, Jon A. McBride, Kathryn D. Sullivan, Sally K. Ride, David C. Leestma, Marc Garneau, Paul D. Scully-Power",USA,,ERBS satellite deployed. Radar imaging. First EVA by an American woman (Sullivan). First Canadian in space (Garneau). First flight including two women.,N,N,N,8.0,1984-10-05,STS-41-G (Challenger),1984-10-13,STS-41-G (Challenger),1984
"Frederick H. Hauck, David M. Walker, Anna L. Fisher, Dale A. Gardner, Joseph P. Allen",USA,,Deployed two communications satellites. Retrieved two malfunctioning satellites.,N,N,N,8.0,1984-11-08,STS-51-A (Discovery),1984-11-16,STS-51-A (Discovery),1984
"Thomas K. Mattingly, Loren J. Shriver, Ellison S. Onizuka, James F. Buchli, Gary E. Payton",USA,,"First mission for the U.S. Department of Defense. Classified payload, possibly intelligence-gathering satellite.",N,N,N,3.0,1985-01-24,STS-51-C (Discovery),1985-01-27,STS-51-C (Discovery),1985
"Karol J. Bobko, Donald E. Williams, M. Rhea Seddon, Jeffrey A. Hoffman, S. David Griggs, Charles D. Walker, E. Jake Garn",USA,,Communications satellite deployed. Miscellaneous scientific experiments. First senator in space (Garn).,N,N,N,7.0,1985-04-12,STS-51-D (Discovery),1985-04-19,STS-51-D (Discovery),1985
"Robert F. Overmyer, Frederick D. Gregory, Don L. Lind, Norman E. Thagard, William E. Thornton, Lodewijk van den Berg, Taylor G. Wang",USA,,Second Spacelab mission; microgravity experiments. Observation of behaviour of monkeys and rodents in space.,N,N,N,7.0,1985-04-29,STS-51-B (Challenger),1985-05-06,STS-51-B (Challenger),1985
